,COMM_CODE,COMD_CODE,COMD_CDNM,,,,,,
0,TEST_PROGRS_MTH_CD,1,보통,,,,,,
1,TEST_PROGRS_MTH_CD,2,입회,,,,,,
2,TEST_PROGRS_MTH_CD,3,지급,,,,,,
3,CNTC_ENTRPS_CD,1,CJ 오쇼핑,,,,,,
4,CNTC_ENTRPS_CD,2,국방기술품질원,,,,,,
5,CNTC_ENTRPS_CD,3,한국환경산업기술원,,,,,,
6,ELCTRN_DOC_SNDNG_MTH_CD,1,FAX,,,,,,
7,ELCTRN_DOC_SNDNG_MTH_CD,2,EMail,,,,,,
8,ELCTRN_DOC_SNDNG_MTH_CD,3,FAX+Email,,,,,,
9,SCCD_CL_CD,1,ROHS,,,,,,
10,SCCD_CL_CD,2,SVHC,,,,,,
11,SUBPLC_NM,1,한국마사회,,,,,,
12,SUBPLC_NM,2,한국도로공사,,,,,,
13,SUBPLC_NM,3,한국소방산업기술원,,,,,,
14,SUBPLC_NM,4,한국에너지공단,,,,,,
15,SUBPLC_NM,5,한국철도시설공단,,,,,,
16,SUBPLC_NM,6,한국표준협회,,,,,,
17,SUBPLC_NM,7,한국환경산업기술원,,,,,,
18,SUBPLC_NM,8,현대홈쇼핑,,,,,,
19,SUBPLC_NM,9,김양식어장,,,,,,
20,SUBPLC_NM,10,중기청,,,,,,
21,SUBPLC_NM,11,한국동서발전,,,,,,
22,SUBPLC_NM,12,현대자동차,,,,,,
23,SUBPLC_NM,13,CJ홈쇼핑,,,,,,
24,SUBPLC_NM,14,에너지관리공단,,,,,,
25,SUBPLC_NM,15,관공서,,,,,,
26,SUBPLC_NM,16,납품처,,,,,,
27,SUBPLC_NM,17,법원,,,,,,
28,SUBPLC_NM,18,공공기관,,,,,,
29,SUBPLC_NM,19,현대중공업(주),,,,,,
30,SUBPLC_NM,20,기타,,,,,,
31,SCCD_PRPOS_CD,1,제출용,,,,,,
32,SCCD_PRPOS_CD,2,조달청품질검사용,,,,,,
33,SCCD_PRPOS_CD,3,품목허가용,,,,,,
34,SCCD_PRPOS_CD,4,품질시험용(토목),,,,,,
35,SCCD_PRPOS_CD,5,품질시험용(건축),,,,,,
36,SCCD_PRPOS_CD,6,품질시험용(공급원승인용),,,,,,
37,SCCD_PRPOS_CD,7,품질관리용,,,,,,
38,JOB_CL_CD,1,의뢰검사,,,,,,
39,JOB_CL_CD,2,의료용구,,,,,,
40,JOB_CL_CD,3,일반의뢰시험,,,,,,
41,JOB_CL_CD,4,조달검사,,,,,,
42,JOB_CL_CD,5,품질시험(건축),,,,,,
43,JOB_CL_CD,6,품질시험(공급원승인),,,,,,
44,JOB_CL_CD,7,품질시험(토목),,,,,,
45,JOB_CL_CD,8,화장품검사,,,,,,
46,SPLORE_SNDNG_MTH_CD,1,폐기,,,,,,
47,SPLORE_SNDNG_MTH_CD,2,보관,,,,,,
48,SPLORE_SNDNG_MTH_CD,3,반환,,,,,,
49,MBER_SE_CD,1,회원-일반,,,,,,
50,MBER_SE_CD,2,회원-예치금,,,,,,
51,MBER_SE_CD,3,인증-Q,,,,,,
52,MBER_SE_CD,4,의뢰검사,,,,,,
53,MBER_SE_CD,5,회원-설비,,,,,,
54,MBER_SE_CD,6,인증-S,,,,,,
55,MBER_SE_CD,7,중기 마크,,,,,,
56,MBER_SE_CD,8,검정,,,,,,
57,MBER_SE_CD,9,회원-선납,,,,,,
58,MBER_SE_CD,10,기관협약-개별,,,,,,
59,MBER_SE_CD,11,인증-TR,,,,,,
60,MBER_SE_CD,12,인증-석면,,,,,,
61,MBER_SE_CD,13,단체협약1(건설자원협회 회원사),,,,,,
62,MBER_SE_CD,14,단체협약2,,,,,,
63,MBER_SE_CD,15,단체협약3,,,,,,
64,MBER_SE_CD,16,단체협약4(한국페인트잉크공업협동조합 회원사),,,,,,
65,MBER_SE_CD,17,단체협약5(한국판유리산업협회 회원사),,,,,,
66,MBER_SE_CD,18,단체협약6(신뢰성교량받침업체),,,,,,
67,MBER_SE_CD,19,인증-VC,,,,,,
68,MBER_SE_CD,20,단체협약7,,,,,,
69,MBER_SE_CD,21,단체협약8(한국해양과학기술진흥원 회원사),,,,,,
70,MBER_SE_CD,22,단체협약9(한국가공유리협회),,,,,,
71,MBER_SE_CD,23,단체협약10(LIG넥스윈_협력사),,,,,,
72,MBER_SE_CD,24,단체협약11(한국금속공업협동조합),,,,,,
